"Total Arrestees by Weapon Type"
"Current date: 11/21/2011 3:00:46 PM (Central Standard Time)"
,"Measures","Number of Arrestees","Number of Incidents","Estimated Population","Arrestee Rate (per 1,000)",
,"Arrestee Armed With","Firearm","Firearm","Firearm","Firearm",
"Jurisdiction","Arrest Date"
,"2008","30","19","71160","0.42"
,"2009","23","21","72431","0.32"
,"2010","27","26","72321","0.37"
"Robertson","2001","11","10","55962","0.20"
,"2002","13","13","56954","0.23"
,"2003","26","26","57874","0.45"
,"2004","9","9","58871","0.15"
,"2005","30","29","60019","0.50"
,"2006","19","18","61928","0.31"
,"2007","13","13","63652","0.20"
,"2008","18","13","64898","0.28"
,"2009","9","8","66581","0.14"
,"2010","15","12","66283","0.23"
"Rutherford","2001","21","20","189690","0.11"
,"2002","32","30","196074","0.16"
,"2003","21","20","202672","0.10"
,"2004","18","18","210774","0.09"
,"2005","53","44","219976","0.24"
,"2006","42","31","231510","0.18"
,"2007","40","36","242005","0.17"
,"2008","31","27","249270","0.12"
,"2009","98","83","257048","0.38"
,"2010","113","94","262604","0.43"
"Sequatchie","2001","9","9","11540","0.78"
,"2002","8","8","11772","0.68"
,"2003","5","5","12044","0.42"
,"2004","7","7","12362","0.57"
,"2005","4","4","12710","0.31"
,"2006","4","4","13125","0.30"
,"2007","2","2","13464","0.15"
,"2008","12","12","13580","0.88"
,"2009","4","3","13915","0.29"
,"2010","12","12","14112","0.85"
"Smith","2001","20","20","17962","1.11"
,"2002","11","11","18096","0.61"
,"2003","20","19","18208","1.10"
,"2004","14","14","18263","0.77"
,"2005","17","16","18466","0.92"
,"2006","11","11","18663","0.59"
,"2007","12","12","18857","0.64"
,"2008","11","10","19107","0.58"
,"2009","11","11","19201","0.57"
,"2010","5","5","19166","0.26"
"Sumner","2001","27","25","133631","0.20"
,"2002","28","27","136009","0.21"
,"2003","42","36","137950","0.30"
,"2004","27","23","140853","0.19"
,"2005","58","52","143782","0.40"
,"2006","65","53","148547","0.44"
,"2007","50","43","152578","0.33"
,"2008","32","28","155474","0.21"
,"2009","70","62","158759","0.44"
,"2010","44","41","160645","0.27"
"Trousdale","2001","10","10","7288","1.37"
,"2002","11","11","7287","1.51"
,"2003","4","4","7264","0.55"
,"2004","6","6","7301","0.82"
,"2005","3","3","7433","0.40"
,"2006","1","1","7531","0.13"
,"2007","6","6","7709","0.78"
,"2008","5","5","7822","0.64"
,"2009","4","4","7922","0.50"
,"2010","1","1","7870","0.13"
"Van Buren","2001","4","4","5470","0.73"
,"2002","6","6","5491","1.09"
,"2003","3","3","5390","0.56"
,"2004","2","2","5377","0.37"
,"2005","2","2","5369","0.37"
,"2006","5","5","5350","0.93"
,"2007","1","1","5428","0.18"
,"2008","2","2","5481","0.36"
,"2009","4","4","5480","0.73"
,"2010","1","1","5548","0.18"
"Warren","2001","41","37","38682","1.06"
,"2002","24","22","38691","0.62"
,"2003","19","18","39072","0.49"
,"2004","18","14","39184","0.46"
,"2005","16","15","39372","0.41"
,"2006","19","14","39652","0.48"
,"2007","17","16","39910","0.43"
,"2008","8","8","39842","0.20"
,"2009","12","12","40481","0.30"
,"2010","10","9","39839","0.25"
"White","2001","16","15","23408","0.68"
,"2002","18","15","23554","0.76"
,"2003","5","5","23608","0.21"
,"2004","4","4","23885","0.17"
,"2005","3","3","24254","0.12"
,"2006","6","6","24592","0.24"
,"2007","12","11","24966","0.48"
,"2008","5","5","25129","0.20"
,"2009","8","8","25444","0.31"
,"2010","7","7","25841","0.27"
"Williamson","2001","34","32","132234","0.26"
,"2002","27","26","136335","0.20"
,"2003","42","37","140826","0.30"
,"2004","38","37","146014","0.26"
,"2005","51","50","152208","0.34"
,"2006","34","30","159540","0.21"
,"2007","25","25","166732","0.15"
,"2008","38","35","171452","0.22"
,"2009","50","47","176838","0.28"
,"2010","42","37","183182","0.23"
"Wilson","2001","1","1","91051","0.01"
,"2002","27","24","93035","0.29"
,"2003","5","5","94836","0.05"
,"2004","2","2","97013","0.02"
,"2005","2","2","99762","0.02"
,"2006","11","10","103446","0.11"
,"2007","7","7","106535","0.07"
,"2008","8","7","109803","0.07"
,"2009","9","9","112377","0.08"
,"2010","5","5","113993","0.04"
"Benton","2001","11","11","16626","0.66"
,"2002","11","9","16479","0.67"
,"2003","12","11","16381","0.73"
,"2004","10","9","16322","0.61"
,"2005","10","9","16265","0.61"
,"2006","14","13","16139","0.87"
,"2007","18","18","16152","1.11"
,"2008","11","9","16193","0.68"
,"2009","9","9","16025","0.56"
,"2010","17","17","16489","1.03"
"Carroll","2001","26","26","29512","0.88"
,"2002","26","22","29215","0.89"
,"2003","40","35","29205","1.37"
,"2004","24","24","29099","0.82"
,"2005","23","22","28695","0.80"
,"2006","24","23","28775","0.83"
,"2007","29","24","28783","1.01"
,"2008","23","17","28719","0.80"
,"2009","17","16","28517","0.60"
,"2010","26","22","28522","0.91"
"Chester","2001","","","15845",""
,"2002","1","1","15857","0.06"
,"2003","5","3","15549","0.32"
,"2004","10","6","15793","0.63"
,"2005","5","5","15879","0.31"
,"2006","1","1","15978","0.06"
,"2007","1","1","16078","0.06"
,"2008","3","3","16309","0.18"
,"2009","4","4","16312","0.25"
,"2010","1","1","17131","0.06"
"Crockett","2001","11","10","14536","0.76"
,"2002","13","10","14462","0.90"
,"2003","11","10","14318","0.77"
,"2004","6","6","14372","0.42"
,"2005","5","5","14354","0.35"
,"2006","7","7","14333","0.49"
,"2007","4","4","14403","0.28"
,"2008","5","5","14186","0.35"
,"2009","6","6","14492","0.41"
,"2010","1","1","14586","0.07"
"Decatur","2001","5","5","11671","0.43"
,"2002","10","10","11604","0.86"
,"2003","6","6","11503","0.52"
,"2004","12","12","11523","1.04"
,"2005","9","9","11428","0.79"
,"2006","8","8","11364","0.70"
,"2007","10","9","11505","0.87"
,"2008","4","4","11288","0.35"
,"2009","2","2","11525","0.17"
,"2010","7","7","11757","0.60"
"Dickson","2001","20","17","43866","0.46"
,"2002","25","25","44344","0.56"
,"2003","38","37","44849","0.85"
,"2004","24","17","45211","0.53"
,"2005","20","19","45705","0.44"
,"2006","17","16","46439","0.37"
,"2007","21","19","47411","0.44"
,"2008","27","27","47884","0.56"
,"2009","15","15","48230","0.31"
,"2010","19","18","49666","0.38"
"Dyer","2001","10","10","37108","0.27"
,"2002","14","14","37068","0.38"
,"2003","7","7","37161","0.19"
,"2004","4","4","37291","0.11"
,"2005","10","10","37586","0.27"
,"2006","31","24","37689","0.82"
,"2007","23","21","37680","0.61"
,"2008","7","6","37600","0.19"
,"2009","16","12","37811","0.42"
,"2010","12","11","38335","0.31"
"Fayette","2001","20","20","30191","0.66"
,"2002","35","34","31016","1.13"
,"2003","24","24","32023","0.75"
,"2004","15","15","33137","0.45"
,"2005","19","19","33993","0.56"
,"2006","24","22","35877","0.67"
,"2007","32","31","37218","0.86"
,"2008","28","24","38173","0.73"
,"2009","5","5","38785","0.13"
,"2010","13","13","38413","0.34"
